"LanguageType","language","Participant","ListUnique","ListOrder","TargetTrial","Item","ItemWithinScene","ItemScene","MannerVariant","SameMannerResponse","FirstTrial.SameMannerResponse"
"verb-framed","Catalan","ca.6","2a","descending",6,"et_hc_sl_r_ro_l","49","hc","left",1,1
"verb-framed","Catalan","ca.6","2a","descending",7,"et_rl_ju_d_sp_u","2","rl","left",1,1
"verb-framed","Catalan","ca.6","2a","descending",8,"et_tr_sl_r_l_ro","47","tr","right",1,1
"verb-framed","Catalan","ca.6","2a","descending",9,"et_rl_ro_u_d_sl","34","rl","right",0,1
"verb-framed","Catalan","ca.6","2a","descending",10,"et_hc_sp_l_r_ju","58","hc","right",1,1
"verb-framed","Catalan","ca.6","2a","descending",11,"et_rl_sl_u_ro_d","52","rl","left",1,1
"verb-framed","Catalan","ca.6","2a","descending",12,"et_tr_sp_l_ju_r","57","tr","left",1,1
"verb-framed","Catalan","ca.8","2b","descending",1,"et_rl_sp_u_d_ju","69","rl","right",1,1
"verb-framed","Catalan","ca.8","2b","descending",2,"et_hc_ro_l_r_sl","23","hc","right",1,1
"verb-framed","Catalan","ca.8","2b","descending",3,"et_tr_ro_l_sl_r","25","tr","left",0,1
"verb-framed","Catalan","ca.8","2b","descending",4,"et_hc_ju_r_sp_l","14","hc","left",1,1
"verb-framed","Catalan","ca.8","2b","descending",5,"et_tr_ju_r_l_sp","11","tr","right",1,1
"verb-framed","Catalan","ca.8","2b","descending",6,"et_hc_sl_l_ro_r","43","hc","left",1,1
